Entity,Year,tourism_share_gdp,in_tour_arrivals_ovn_vis_tourists,business_personal_ratio,dom_tour_accom_hotels_and_similar_estab_guests,in_tour_accom_hotels_and_similar_estab_guests
Indonesia,2015,4.31,9963000.0,0.5011179,46224000.0,11936000.0
Indonesia,2016,4.6505423,11072000.0,0.5046697,63228000.0,14012000.0
Indonesia,2017,4.6749697,12948000.0,0.27959096,70381000.0,15276000.0
Indonesia,2018,4.9121866,13396000.0,0.27959564,73097000.0,20119000.0
Indonesia,2019,4.9663334,15455000.0,0.2795926,74067000.0,14591000.0
Indonesia,2020,2.241401,3915400.0,1.6997736,36055000.0,2615000.0
Israel,2008,2.6838045,2572000.0,0.14924039,4800000.0,3373000.0
Israel,2009,2.528945,2321000.0,0.17638114,4915000.0,2621000.0
Israel,2010,2.7600791,2803000.0,0.14175153,4943000.0,3237000.0
Israel,2011,2.696887,2820000.0,0.1628866,5038000.0,3232000.0
Israel,2012,2.7404203,2886000.0,0.17651854,5331000.0,3171000.0
Israel,2013,2.6183214,2962000.0,0.13622409,5506000.0,3135000.0
Israel,2014,2.5284257,2927000.0,0.14829345,5699000.0,3020000.0
Israel,2015,2.5923772,2799000.0,0.14948665,6018000.0,2692000.0
Israel,2016,2.5233014,2900000.0,0.1262136,6151000.0,2817000.0
Israel,2017,2.5534585,3613000.0,0.12613371,6331000.0,3680000.0
Israel,2018,2.64084,4121000.0,0.11111411,6406000.0,4134000.0
Israel,2019,2.5831666,4552000.0,0.10987564,6507000.0,4441000.0
Italy,2010,5.1485796,43626000.0,0.22665215,44354000.0,35020000.0
Italy,2015,5.4102592,50732000.0,0.19662863,45922000.0,43097000.0
Italy,2017,5.4985833,58253000.0,0.19281375,48425000.0,45365000.0
Italy,2019,5.7128034,64513000.0,0.18473116,50422000.0,47377000.0
Jordan,2008,6.7,3729000.0,0.11914766,633000.0,2693000.0
Jordan,2010,7.0,4207000.0,0.07650972,469000.0,2206000.0
Jordan,2012,6.5,4162000.0,0.07656492,582000.0,1822000.0
Jordan,2016,6.0,3567000.0,0.14563107,808000.0,1531000.0
Latvia,2008,4.2,1684000.0,0.1901256,483000.0,846000.0
Latvia,2009,3.1,1323000.0,0.1597546,302000.0,697000.0
Latvia,2010,3.1,1373000.0,0.16309112,356000.0,815000.0
Latvia,2011,3.4,1493000.0,0.168108,427000.0,985000.0
Latvia,2013,4.2,1536000.0,0.1400987,474000.0,1168000.0
Latvia,2014,4.3,1843000.0,0.1349166,545000.0,1342000.0
Latvia,2015,4.2,2024000.0,0.13597874,493000.0,1373000.0
Latvia,2016,4.5,1793000.0,0.116311915,515000.0,1452000.0
Latvia,2017,4.6,1949000.0,0.109343365,545000.0,1636000.0
Latvia,2018,4.9,1946000.0,0.09800599,614000.0,1774000.0
Latvia,2019,4.8,1935000.0,0.09313905,617000.0,1777000.0
Lithuania,2009,2.801917,1341000.0,0.56658876,414000.0,684000.0
Lithuania,2010,2.732644,1507000.0,0.4325095,451000.0,761000.0
Lithuania,2011,2.76061,1775000.0,0.42227563,519000.0,909000.0
Lithuania,2012,2.9460752,1900000.0,0.4045858,586000.0,1008000.0
Lithuania,2013,3.004695,2012000.0,0.40209058,647000.0,1098000.0
Lithuania,2014,3.055213,2063000.0,0.41982105,708000.0,1166000.0
Lithuania,2015,2.9898176,2071000.0,0.4233677,777000.0,1182000.0
Lithuania,2016,3.0254006,2296000.0,0.3856367,821000.0,1274000.0
Lithuania,2017,3.0140703,2523000.0,0.39632562,925000.0,1321000.0
Lithuania,2018,2.9483683,2825000.0,0.3871538,1025000.0,1425000.0
Lithuania,2019,2.941851,2875000.0,0.33909357,1152000.0,1572000.0
Lithuania,2020,1.6683943,937000.0,0.29253483,856000.0,414000.0
Lithuania,2021,1.7,948000.0,0.2896026,1049000.0,436000.0
Luxembourg,2014,1.2272758,1038000.0,0.2991239,70000.0,834000.0
Luxembourg,2015,1.1686244,1090000.0,0.2914692,69000.0,870000.0
Malaysia,2008,4.860895,22052000.0,0.16547751,40610000.0,28276000.0
Malta,2010,5.9,1339000.0,0.0966421,157700.0,1047000.0
Mexico,2008,8.879313,22931000.0,0.03577559,45420000.0,14731000.0
Mexico,2009,9.154534,22346000.0,0.031528413,43088000.0,12043000.0
Mexico,2010,8.866985,23290000.0,0.035987545,45274000.0,12507000.0
Mexico,2011,8.608892,23403000.0,0.036999293,46582000.0,12655000.0
Mexico,2012,8.645923,23403000.0,0.041429333,47331000.0,13092000.0
Mexico,2013,8.994659,24151000.0,0.046086542,48441000.0,13954000.0
Mexico,2014,8.916772,29346000.0,0.044639044,49649000.0,15351000.0
Mexico,2015,8.838171,32093000.0,0.045306053,52875000.0,17072000.0
Mexico,2016,8.451799,35079000.0,0.048668202,55595000.0,18875000.0
Mexico,2017,8.487258,39291000.0,0.051818617,58945000.0,21394000.0
Mexico,2018,8.53957,41313000.0,0.050938305,61474000.0,21764000.0
